"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：媚灵丸
汉语拼音： Meiling Wan",【成份】蚕蛾渣、海龙、菟丝子、蛇床子、蚕蛾油。,"【性状】甲丸为黑色水丸,除去包衣后显棕色；乙丸为棕黄色透明或半透明胶丸。",【功能主治】补肝益肾，温脾助胃。用于肝肾不足，脾胃虚弱所致腰膝酸痛，精神不振，失眠。
"【药品名称】
通用名称：眠安康口服液
汉语拼音：Mian‘ankang Koufuye",【成份】茯神（去木）、人参、酸枣仁（炒）、生姜。,【性状】本品为黄棕色的澄清液体，久置可有少许沉淀；气芳香，味酸甜、微苦。,【功能主治】健脾益气，养心安神。用于心脾两虚所致的失眠多梦，心悸健忘，神疲体倦，面色少华。
"【药品名称】
通用名称：眠安宁口服液
汉语拼音：Mian'anning Koufuye",【成份】丹参、熟地黄、首乌藤、白术、陈皮、远志、大枣、,【性状】本品为棕色至棕褐色的液体；味甜、微苦。,【功能主治】　养血安神。用于神经衰弱，失眠多梦，心神不安等症。
"【药品名称】
通用名称：妙灵丸
汉语拼音：Miaoling Wan",【成份】川贝母、天南星(制)、地黄、羚羊角、水牛角浓缩粉、钩藤、朱砂、关木通、冰片、赤芍等18味。,【性状】本品为褐色的大蜜丸；气香，味苦。,【功能主治】清热化痰，散风镇惊。用于感冒发烧，头痛眩晕，内热咳嗽，呕吐痰涎，鼻干口燥，咽喉肿痛，小便不利。
"【药品名称】
通用名称：灭滴栓
汉语拼音：Miedi Shuan",【成份】本品为桃叶干浸膏制成的栓剂。,【性状】本品为褐色圆锥形栓剂，气清香。,【功能主治】　杀虫，消炎。用于阴道滴虫，滴虫性阴道炎，滴虫性尿道炎等。
"【药品名称】
通用名称：明睛地黄丸
汉语拼音：Mingjing Dihuang Wan",【成份】地黄、熟地黄、防风、牛膝、苦杏仁、枳壳、石斛、,【性状】本品为黑褐色的大蜜丸；气微香，味甜、微苦。,【功能主治】　滋肾养肝，明目。用于肝肾阴虚，目涩怕光，迎风流泪。
"【药品名称】
通用名称：明目地黄丸（大蜜丸）
汉语拼音：ming mu de huang wan(da mi wan)",【成份】熟地黄，山茱萸(制)，牡丹皮，山药，茯苓，泽泻，枸杞子，菊花，当归，白芍，蒺藜，石决明(煅)。辅料为蜂蜜,【性状】本品为黑色的大蜜丸；气微香，味先甜而后苦、涩。,【功能主治】滋肾，养肝，明目。用于肝肾阴虚，目涩畏光，视物模糊，迎风流泪。
"【药品名称】
通用名称：明目地黄丸（水蜜丸）
汉语拼音：ming mu de huang wan(shui mi wan)",【成份】熟地黄、山茱萸(制)、牡丹皮、山药、茯苓、泽泻、枸杞子、菊花、当归、白芍、蒺藜、石决明(煅)。辅料为蜂蜜。,【性状】本品为黑褐色至黑色的水蜜丸；气微香，味先甜而后苦、涩。,【功能主治】同上。
"【药品名称】
通用名称：明目六味汤散
汉语拼音：ming mu liu wei shang san",,,【功能主治】清热，凉血，明目。用于血热引起的眼病，眼红，眼眵增多，刺痛，怕光。
"【药品名称】
通用名称：明目滋肾片
汉语拼音：Mingmu Zishen Pian",【成份】地黄、女贞子、枸杞子、菊花、决明子、牛膝、蔗糖、硬脂酸镁、滑石粉,,【功能主治】滋补肝肾，明目。用于肝肾阴虚所致的目暗，头晕耳鸣，腰膝酸软。
"【药品名称】
通用名称：明珠口服液
汉语拼音：Mingzhu Koufuye",【成份】决明子、制何首乌、珍珠母、菊花、夏枯草、当归、白芍、枸杞、赤芍、红花、益母草、车前子、茯苓、、冬瓜子、甘草。、,【性状】本品为红棕色至棕褐色的液体；味苦、微甜。,【功能主治】滋补肝肾，养血活血，渗湿明目。用于肝肾阴虚之中心性浆液性脉络膜视网膜病变，证见：视力下降，视瞻有色，视物变形等。
"【药品名称】
通用名称：磨积散
汉语拼音：Moji San",【成份】鸡内金、白扁豆(去皮)、木香、砂仁、使君子仁、三棱、莪术、水红花、,【性状】本品为浅棕黄色的粉末；气微香，味微甘。,【功能主治】消疳，磨积。用于小儿宿食积滞引起：停食停乳，不思饮食，面黄肌瘦，腹胀坚硬，虫积腹痛。
"【药品名称】
通用名称：母乳多颗粒
汉语拼音：mu ru duo ke li",【成份】黄芪、漏芦、羊乳根、王不留行、梗通草。,,【功能主治】益气，下乳。用于产后乳汁不下或稀少。
"【药品名称】
通用名称：牡荆油滴丸
汉语拼音：Mujingyou Diwan",【成份】本品为牡荆油与明胶等赋形剂及适量的混悬液制成的滴丸。,【性状】 本品为棕红色的滴丸；剖开后有特殊的香气。,【功能主治】祛痰，止咳，平喘。用于慢性支气管炎。
"【药品名称】
通用名称：牡荆油乳
汉语拼音：mu jing you ru",【成份】牡荆油。、,【性状】乳白色的乳状液体；气芳香，味略甜。,【功能主治】祛痰，止咳。用于慢性支气管炎咳嗽。
"【药品名称】
通用名称：木耳舒筋丸
汉语拼音：Mu'er Shujin Wan",【成份】木耳、当归、川芎、枸杞子、苍术、杜仲、牛膝、白巨胜子、,【性状】本品为棕黑色的大蜜丸；气微香，味甘、辛。,【功能主治】　舒筋活血，祛风湿，补肝肾。用于腰膝酸痛无力，肢体麻木，抽搐。
"【药品名称】
通用名称：木瓜丸（大蜜丸）
汉语拼音：Mugua Wan",【成份】木瓜、当归、川芎、白芷、威灵仙、狗脊、牛膝、鸡血藤、海风藤、人参、制川乌、制草乌、,【性状】本品为黑褐色的大蜜丸；味苦、微甜。,【功能主治】　祛风散寒，活络止痛。用于风寒湿痹，四肢麻木，周身疼痛，腰膝无力，步履艰难。
"【药品名称】
通用名称：木竭胶囊
汉语拼音：mu jie jiao nang",【成份】木耳、川芎、赤芍、牛膝、血竭、桂枝、杜仲碳、鹿衍草、葛根、延胡索、牡蛎。,【性状】本品为胶囊剂，内容物为红棕色粉沫；气微香，味微辛。,【功能主治】补肾活血，温经止痛。适用于肾虚血瘀、寒邪闭阻所致的疼痛，僵硬，麻木等症及骨质增生见有上述症状的辅助治疗。
"【药品名称】
通用名称：木香理气片
汉语拼音：Muxiang Liqi Pian",【成份】木香、大黄、牵牛子(炒)、槟榔、枳实、枳壳、香附(醋炙)、厚朴(姜汁炙)、乌药、陈皮、山楂、黄芩等19味。,【性状】本品为糖衣片，除去糖衣后显褐色；味苦。,【功能主治】行气宽中，化滞通便。用于气郁不舒，停食停水，胸胁痞闷，脘腹胀满，恶心呕吐，倒饱嘈杂，大便秘结。
"【药品名称】
通用名称：木香通气丸
汉语拼音：Muxiang Tongqi Wan",【成份】香附（醋制）、六神曲（麸炒）、莱菔子、槟榔、木香、陈皮、麦芽（炒）、茯苓、甘草、山楂（炒）、乌药、青皮（醋制）、枳壳（麸炒）,,【功能主治】行气化湿，健脾和胃。用于湿浊阻滞所致的胸膈痞闷，脘腹胀痛，呕吐恶心，嗳气纳呆。
"【药品名称】
通用名称：万金香气雾剂
汉语拼音：mo jin xiang qi wu ji",【成份】杠板归、木姜子、艾纳香油,,"【功能主治】苗医：
中医：辟秽解毒，止痒消肿。用于蚊虫叮咬，红肿痒痛。"
"【药品名称】
通用名称：万灵片
汉语拼音：Wailing Pian",【成份】茅苍术、制川乌、当归、何首乌、麻黄、制草皮、甘草、全蝎、羌活、川芎、天麻、石斛、防风、荆芥、细辛、雄黄、朱砂、,【性状】本品为黄色的片；味微苦。,【功能主治】温散寒凝，活血通络，解毒消肿。用于痈疽初起，发背流注以及风湿疼痛。
"【药品名称】
通用名称：万年春酒
汉语拼音：Wannianchun Jiu",【成份】红参、枸杞子、地枫皮、玉竹、锁阳、川牛膝、淫羊藿、丹参、红花、狗脊、白术、,【性状】本品为橙黄色的澄清液体；味甜。,【功能主治】补气健脾，益精滋肾，祛风活血，强壮筋骨。用于气虚脾弱，腰膝酸软，风温关节痛等。
"【药品名称】
通用名称：万通炎康片
汉语拼音：Wantong Yankang Pian",【成份】苦玄参、肿节风。,【性状】本品为薄膜衣片或糖衣片，除去包衣后显黄棕色至棕色，略有白点；味苦。,【功能主治】疏风清热，解毒消肿。用于外感风热所致的咽部红肿、牙龈红肿、疮疖肿痛；急慢性咽炎、扁桃体炎、牙龈炎、疮疖见上述证候者。
"【药品名称】
通用名称：万应茶
汉语拼音：Wanying Cha",【成份】大黄(酒制)、广藿香、香薷、羌活、紫苏叶、苍术、白术(土炒)、厚朴（姜制）、半夏(姜制)、茯苓、陈皮(制)、茶叶等34味。,【性状】本品为棕褐色颗粒状袋泡茶，或淡红褐色小扁圆形块状茶；气香，味苦、微甘。,【功能主治】疏风解表，健脾和胃，祛痰利湿。用于外感风寒，食积腹痛，呕吐泄泻，胸满腹胀。
"【药品名称】
通用名称：万应甘和茶
汉语拼音：Wanying Ganhe Cha",【成份】藿香、紫苏、苍术、白术(漂)、厚朴(姜炒)、陈皮(制)、茯苓、苦杏仁、砂仁、泽泻、半夏(制)、茶叶等15味。,【性状】本品为褐黑色药茶；气香，味微苦。,【功能主治】芳香解表，燥湿和中，升清降浊。用于感冒发热，腹痛吐泻，暑湿泄泻。
"【药品名称】
通用名称：无敌丹胶囊
汉语拼音：Wudidan Jiaonang",【成份】黄芪、杜仲、续断、肉苁蓉、苏木、川芎、没药、淫羊藿怀牛膝、骨碎补、补骨脂熟地、细辛、桂枝、血竭、三七、当归、乳香、香加皮、羌活,【性状】本品为胶囊剂，内容物为红棕色至褐色的粉末或颗粒；气微香，味微苦。,【功能主治】益气活血，滋补肝肾，祛风除湿，消肿止痛。用于气虚血瘀、肝肾不足引起的骨性关节炎(骨质增生，骨折)。
"【药品名称】
通用名称：无敌止痛搽剂
汉语拼音：Wudi Zhitong Chaji",【成份】生川乌、生草乌、生天南星、红花、莪术、冰片、乳香、没药、姜黄、丁香、细辛、赤芍。,【性状】本品为棕色液体，久置可有微量混浊；气特异。,【功能主治】消肿止痛，活血化瘀。用于急、慢性扭、挫伤，冻疮。
"【药品名称】
通用名称：无锡伤药
汉语拼音：Wuxi Shangyao",【成份】当归防风枳壳浙贝母、知母天南星、瓜蒌白芷红花,【性状】本品为胶囊剂，内容物为棕色至棕褐色粉末；气香，味苦。,【功能主治】理气，活血化瘀，消肿止痛。用于胸胁、腰背、四肢等软组织急性损伤。
"【药品名称】
通用名称：木瓜酒
汉语拼音：Mugua Jiu","【成份】木瓜、五加皮、羌活、独活、玉竹、当归、秦艽、千年健、川牛膝、红花、陈皮、川芎、桑寄生。
辅料为白酒、蔗糖。",【性状】本品为棕黄色的澄清液体；气香，味微甜、略苦。,【功能主治】祛风活血。用于风湿痹痛，筋脉拘挛，四肢麻木，关节不利。
"【药品名称】
通用名称：木瓜壮骨丸
汉语拼音：Mugua Zhuanggu Wan",【成份】豹骨（制）、木瓜、熟地黄、川牛膝、当归、白芍、黄芪、五味子、杜仲（炭）、补骨脂（盐制）、黄柏、山药、锁阳、枸杞子、龟甲（醋制）、菟丝子（酒制）、蜂蜜（炼）,,【功能主治】补肝肾，强筋骨。用于肝肾两虚所致筋骨无力，腰膝酸痛。
"【药品名称】
通用名称：木香分气丸
汉语拼音：Muxiang Fenqi Wan",【成份】木香、砂仁、丁香、檀香、香附（醋炙）、广藿香、陈皮、厚朴（姜炙）、枳实、豆蔻、莪术（醋炙）、山楂（炒）、白术（麸炒）、甘松、槟榔、甘草。,【性状】本品为黄褐色的水丸；气香，味微辛。,【功能主治】宽胸消胀，理气止呕。用于肝郁气滞，脾胃不和所致的胸膈痞闷、两胁胀满、胃脘疼痛、倒饱嘈杂、恶心呕吐、嗳气吞酸。
"【药品名称】
通用名称：木香顺气丸（水蜜丸）
汉语拼音：Mu Xiang Shun Qi Wan（ Shui Mi Wan）",【成份】木香、砂仁、香附(醋制)、槟榔、甘草、陈皮、厚朴(制)、、枳壳(炒)、苍术(炒)、青皮(炒)。辅料为：生姜。,【性状】本品为棕褐色的水丸；气香，味苦。,【功能主治】行气化湿，健脾和胃。用于脘腹胀痛，恶心，嗳气。
"【药品名称】
通用名称：万宝油
汉语拼音：Wanbao You",【成份】薄荷脑、樟脑、薄荷油、桉油、丁香酚、肉桂油、广藿香油、血竭、甘松油。,【性状】本品为褐色软膏；气芳香，有清凉感。,"【功能主治】清凉，镇痛，驱风，消炎，抗菌。用于伤风感冒，中暑目眩，头痛牙痛，筋骨疼痛，舟车晕浪,轻度水火烫伤，蚊虫叮咬。"
"【药品名称】
通用名称：万灵筋骨膏
汉语拼音：Wanling Jingu Gao",【成份】生川乌、生草乌、独活、羌活、麻黄、防风、当归、莪术、三棱、香附、土鳖虫、木鳖子、蓖麻子、大黄、五倍子、牵牛子、红大戟、芫花、甘遂、巴豆、猪牙皂、柳枝、肉桂、,【性状】本品为摊于布上的黑膏药。,【功能主治】　散风活，舒筋定痛。用于风寒湿邪，伤于筋骨，关节疼痛，四肢麻木，行动艰难。
"【药品名称】
通用名称：万灵五香膏
汉语拼音：Wanling Wuxiang Gao",【成份】穿山甲、羌活、桃仁、肉桂、大黄、没药、玄参、马钱子、怀牛膝、赤芍、血余炭、红花、乳香(制、苦杏仁、地黄、麝香、生川乌、白芷、当归、川芎、续断、,【性状】本品为摊于兽皮上的黑膏药。,【功能主治】活血通络，消肿止痛。用于风湿痹症，关节肿痛，筋骨酸楚，跌打损伤，骨折瘀阻，陈伤隐疼。
"【药品名称】
通用名称：万氏牛黄清心丸（浓缩丸）
汉语拼音：Wanshi Niuhuang Qingxin Wan",【成份】牛黄、朱砂、黄连、黄芩、栀子、郁金、,【性状】本品为深棕色的浓缩丸；味苦、涩。,【功能主治】清热解毒，镇惊安神。用于邪热内闭，烦躁不安，神昏谵语，小儿高热惊厥。
"【药品名称】
通用名称：万应宝珍膏
汉语拼音：Wanying Baozhen Gao",【成份】荆芥、山奈、麻黄、南刘寄奴、羌活、藁本、柴胡、地黄、生川乌、防风、苍术、川芎、独活、续断、威灵仙、何首乌、生草乌、赤芍、三棱、大黄、生天南星、当归、桃仁、香附、白芷、五加皮、枳壳、海风藤、猪牙皂、连翘、莪术、冰片、肉桂、细辛、附子、,【性状】本品为摊于布上的黑色膏药；气微香。,"【功能主治】　舒筋活血、解毒。用于跌打损伤，风湿痹痛,痈疽肿痛,"
"【药品名称】
通用名称：万应莪术油
汉语拼音：wan ying e shu you",,,【功能主治】祛风止痛。用于四时感冒所致的头痛头晕，风火牙痛，及腰酸骨痛，轻度烫伤，蚊叮虫咬。
"【药品名称】
通用名称：无比山药丸
汉语拼音：Wubi Shanyao Wan",【成份】熟地黄、山茱萸(蒸)、山药、菟丝子、肉苁蓉、杜仲（姜汁炒）、巴戟天、五味子(蒸)、牛膝、茯苓、泽泻、赤石脂(煅)。,【性状】本品为褐色的水蜜丸；气微香，味甘、微苦。,【功能主治】健脾补肾。用于脾肾两虚，食少肌瘦，腰膝酸软，目眩耳鸣。
"【药品名称】
通用名称：无敌药酒
汉语拼音：Wudi Yaojiu",【成份】黄芪、当归、熟地黄、人参、菟丝子、杜仲、骨碎补、肉苁蓉、枸杞子、血竭、乳香(制)、没药(制)等38味。,【性状】本品为深棕红色或红棕色液体，久置有少量轻摇易散的沉淀；气香，味苦、微麻。,【功能主治】气血双补、滋补肝肾，强筋健骨，止痛消肿，祛风除湿。用于急、慢性扭挫伤，肩背腰痛，老年体虚，腰酸腿痛。
"【药品名称】
通用名称：无极丸
汉语拼音：Wuji Wan",【成份】甘草、石膏、牛黄、冰片、薄荷脑、丁香、白豆蔻、滑石粉、肉桂、砂仁、人造香、糯米(蒸熟)。,【性状】本品为朱红色的糊丸，除去外衣显黄绿色；味甘、辛、凉。,【功能主治】清热祛暑，避秽止呕。用于中暑受热，呕吐恶心，身烧烦倦，头目眩晕，伤酒伤食，消化不良，水土不服，晕车晕船。
"【药品名称】
通用名称：无烟灸条
汉语拼音：Wuyan Jiutiao",【成份】羌活、细辛、白芷甘松、木香、艾叶炭,【性状】本品为长约12cm、直径约1.3cm的圆柱形条，表面显灰黄色，有光泽或表面黑色；头那约2cm呈黑色，断面黑色；略具香气。，点燃后有极少量的烟，且不熄灭。,【功能主治】行气血，逐寒湿。用于风寒湿痹，肌肉酸麻，关节四肢疼痛，脘腹冷痛。
"【药品名称】
通用名称：脑得生颗粒
汉语拼音：naodeshengkeli",【成份】三七、、川弓、、红花、、葛根、、山楂。,【性状】本品为棕黄色至棕褐色的颗粒 ，味道微苦。,【功能主治】活血化瘀 ，疏通经络 。醒脑开窍，用于脑动脉硬化缺血性脑中风及出血后遗症等。
"【药品名称】
通用名称：脑络通胶囊
汉语拼音：Naoluotong Jiaonang",【成份】丹参、川芎、黄芪、甲基橙皮甙、盐酸托哌酮、维生素B6。,【性状】本品为胶囊剂，内容物为灰棕色的粉末；气辛，味麻辣。,【功能主治】补气活血，通经活络。具有扩张血管，增加脑血流量作用。用于脑血栓、脑动脉硬化、中风后遗症等各种脑血管疾病气虚血瘀证引起的头痛、眩晕、半身不遂、肢体发麻、神疲乏力等症。
"【药品名称】
通用名称：脑安胶囊
汉语拼音：Nao An Jiao Nang",【成份】川芎、当归、人参、红花、冰片。,【性状】本品为胶囊剂，内容物为深棕色颗粒状粉末；气清香，味苦。,【功能主治】活血化瘀，益气通络。适用于脑血栓形成急性期，恢复期属气虚血瘀症候者症见急性起病，半身不遂，口舌歪斜，舌强语蹇，偏身麻木，气短乏力，口角流涎，手足肿胀，舌暗或有瘀斑，苔薄白等。
"【药品名称】
通用名称：脑得生丸
汉语拼音：Naodesheng Wan",【成份】三七、川芎、红花、葛根、山楂、,【性状】本品为褐色大蜜丸；气微香，味微甜、酸。,【功能主治】活血化瘀，疏通经络，醒脑开窍。用于脑动脉硬化，缺血性脑中风及脑出血后遗症等。
"【药品名称】
通用名称：脑立清片
汉语拼音：Naoliqing Pian",【成份】磁石、赭石、珍珠母、清半夏、酒曲、酒曲(炒)、牛膝、薄荷脑、冰片、猪胆汁(或猪胆汁膏)。,【性状】本品为赭石衣片，除去外衣显深褐色；味凉苦。,【功能主治】平肝潜阳，醒脑安神。用于头晕目眩，耳鸣口苦，心烦难寐。
"【药品名称】
通用名称：脑脉泰胶囊
汉语拼音：Naomaitai Jiaonang",【成份】红参、三七、当归、丹参、鸡血藤、红花、银杏叶、山楂、菊花、石决明、何首乌（制）、石菖蒲、葛根。,【性状】本品为胶囊剂，内容物为棕黄色粉粒，含褐色小粒；味微苦，涩。,【功能主治】益气活血，熄风豁痰。用于缺血性中风（脑梗塞）恢复期中经络属于气虚血瘀证、风痰瘀血闭阻脉络证者。症见半身不遂，口舌歪斜，舌强言蹇或不语，头晕目眩，偏身麻木，面色白光白，气短乏力，口角流涎等。也可用于急性期以上病证的轻症。
"【药品名称】
通用名称：脑心通胶囊
汉语拼音：nao xin tong jiao nang","【成份】
黄芪、党参、西红花、三七、丹参、粉葛、川芎、郁金、制何首乌、石决明、鸡血藤、天麻、冰片、桃仁、胆南星、全蝎、蜈蚣、人工麝香、人工牛黄。",【性状】本品为胶囊剂，内容物为土黄色的粉末；味辛，微苦。,【功能主治】益气活血、化瘀通络。用于中风所致半身不遂、肢体麻木、口眼歪斜、舌强语蹇及胸痹所致胸闷、心悸、气短等。
"【药品名称】
通用名称：尿毒清颗粒
汉语拼音：Niaoduqing Keli",【成份】大黄、黄芪、甘草、茯苓、白术、制何首乌、川芎、菊花、丹参、姜半夏等。,【性状】本品为棕色或棕褐色的颗粒；味微苦。,【功能主治】通腑降浊、健脾利湿、活血化瘀。用于慢性肾功能衰竭，氮质血症期和尿毒症早期、中医辨证属脾虚湿浊症和脾虚血瘀症者。可降低肌酐、尿素氮、稳定肾功能，延缓透析时间；对改善肾性贫血，提高血钙、降低血磷也有一定作用。
"【药品名称】
通用名称：尿塞通片
汉语拼音：Niaosaitong Pian",【成份】丹参、泽兰、桃仁、红花、赤芍、白芷、陈皮、泽泻、王不留行、败酱、川楝子、小茴香、黄柏、,【性状】本品为糖衣片，除去糖衣后，呈深褐色；气香，味苦。,【功能主治】理气活血，通经散结，用于前列腺增生症，尿闭等。
"【药品名称】
通用名称：宁泌泰胶囊
汉语拼音：Ning Mi Tai Jiao Nang",【成份】四季红、芙蓉叶、仙鹤草、大风藤、白茅根、连翘、三颗针。,【性状】本品为胶囊剂，内容物为深棕色粉末，有淡黄色纤维。气香、味微苦。,"【功能主治】苗医：旭嘎帜沓痂，洼内通诘：休洼凯纳，殃矢迪，久溜阿洼，底抡。

中医：清热解毒、利湿通淋。用于湿热蕴结所致淋证，证见：小便不利，淋漓涩痛，尿血，以及下尿路感染、慢性前列腺炎见上述证候者。"
"【药品名称】
通用名称：牛黄降压丸
汉语拼音：Niuhuang Jiangya Wan","【成份】
羚羊角、珍珠、水牛角浓缩粉、人工牛黄、冰片、白芍、党参、黄芪、决明子、川芎、黄芩提取物、甘松、薄荷、郁金。",【性状】本品为深棕色的小蜜丸；气微香，味微甜、苦，有清凉感。,【功能主治】清心化痰，镇静降压。用于肝火旺盛，头晕眼花，烦躁不安，痰火壅盛；高血压。
"【药品名称】
通用名称：牛黄清感胶囊
汉语拼音：niu huang qing gan jiao nang",【成份】金银花、连翘、黄芩、人工牛黄、珍珠母,【性状】本品为胶囊剂，内容物为浅黄棕色至黄棕色粉末；味苦。,【功能主治】疏风解表，清热解毒。用于外感风热所致的感冒发热，咳嗽，咽痛。
"【药品名称】
通用名称：牛黄清胃丸
汉语拼音：Niuhuang Qingwei Wan",【成份】人工牛黄、大黄、菊花、麦冬、薄荷、石膏、栀子、玄参、番泻叶、黄芩、甘草、桔梗、黄柏、连翘、牵牛子（炒）、枳实（砂烫）、冰片。,【性状】本品为黑褐色的大蜜丸；气微，味苦、有凉舌感。,【功能主治】清胃泻火，润燥通便。用于心胃火盛，头晕目眩，口舌生疮，牙龈肿痛，乳蛾咽痛，便秘尿赤。
"【药品名称】
通用名称：牛黄上清片
汉语拼音：Niuhuang Shangqing Pian","【成份】
人工牛黄、黄连、黄芩、栀子、大黄、地黄、当归、川芎、赤芍、荆芥穗、连翘、菊花、桔梗、冰片、薄荷、甘草、白芷、石膏、黄柏。辅料：淀粉、滑石粉、氢氧化铝、硬脂酸镁、蔗糖、桃胶、川蜡、色素。",【性状】本品为　　色的糖衣片，除去糖衣后显棕褐色；味凉、苦。,【功能主治】清热泻火，散风止痛。用于头痛眩晕，目赤耳鸣，咽喉肿痛，口舌生疮，牙龈肿痛，大便燥结。
"【药品名称】
通用名称：牛黄蛇胆川贝胶囊
汉语拼音：niu huang she dan chuan bei jiao nang",【成份】川贝母、蛇胆汁。,【性状】本品为胶囊剂，内容物为浅黄色至浅棕色的粉末；味甘，微苦。,【功能主治】清热，化痰，止咳。用于热痰咳嗽，燥痰咳嗽。
"【药品名称】
通用名称：牛黄蛇胆川贝液
汉语拼音：niu huang she dan chuan bei ye",【成份】人工牛黄、川贝母、蛇胆汁，辅料为蔗糖、蜂蜜、防腐剂。,【性状】本品为淡黄色或棕黄色液体；味甜、微苦，有凉喉感。,【功能主治】清热，化痰，止咳。用于外感咳嗽中的热痰咳嗽，燥痰咳嗽。
"【药品名称】
通用名称：牛黄至宝丸
汉语拼音：Niuhuang Zhibao Wan",【成份】牛黄、冰片、雄黄、栀子、连翘、大黄、芒硝、石膏、陈皮、木香、广藿香、青蒿。,【性状】本品为浅黄色大蜜丸；气微香，味苦、辛。,【功能主治】清热解毒，泻火通便。用于胃肠积热所致头痛眩晕、目赤耳鸣、口燥咽干、大便燥结。
"【药品名称】
通用名称：女金片
汉语拼音：Nujin Pian",【成份】鹿角霜、砂仁、赤石脂(煅)、陈皮、茯苓、白薇、熟地黄、甘草、益母草、阿胶、没药(制)、当归、延胡索(醋制)、白芍、白术、白芷、川芎、黄芩、牡丹皮、肉桂、藁本、香附(醋制)、党参。辅料为：硬脂酸镁、淀粉。,【性状】本品为棕褐色片；气芳香，味微苦。,【功能主治】调经养血，顺气化瘀。用于经血不调，赶前错后，腰腿酸痛，腹痛胀满。
"【药品名称】
通用名称：粘膜溃疡散
汉语拼音：Nianmo Kuiyang San",【成份】青黛、儿茶、冰片。,【性状】本品为蓝灰色粉末；气清凉，味微苦。,【功能主治】清热解毒，收敛止痛。用于热毒内盛而致的咽喉肿痛，口舌生疮。
"【药品名称】
通用名称：内消瘰疠片
汉语拼音：Neixiao Luoli Pian",【成份】夏枯草、浙贝母、海藻、白蔹、天花粉、连翘、熟大黄、玄明粉、哈壳、大青盐、枳壳、桔梗、薄荷脑、地黄、当归、玄参、甘草、,【性状】本品为棕褐色的片；味咸、苦。,【功能主治】　软坚散结。用于瘰疬痰核或肿或痛。
"【药品名称】
通用名称：牛鲜茶
汉语拼音：niu xian cha",【成份】地黄、玄参、当归、益母草、赤芍、苦参、川芎、丹参、黄芩、菊花、牛蒡子、白鲜皮、金银花、牡丹皮、防风、红花。,【性状】本品为棕褐色的粉末：味微苦,【功能主治】凉血活血，滋阴润燥，祛风止痒。适用于皮肤干燥，瘙痒。
"【药品名称】
通用名称：内消瘰疬丸
汉语拼音：Neixiao Luoli Wan",【成份】夏枯草、玄参、大青盐、海藻、浙贝母、薄荷、天花粉、蛤壳（煅）、白蔹、连翘、熟大黄、甘草、地黄、桔梗、枳壳、当归、玄明粉。,【性状】本品为灰黄色的水丸；气微香，味咸苦。,【功能主治】　软坚散结。用球瘰疬痰核或肿或痛。
"【药品名称】
通用名称：脑得生片
汉语拼音：Naodesheng Pian",【成份】三七、川芎、红花、葛根、山楂、,【性状】本品为糖衣片，除去糖衣后，显黄褐色；味微苦。,【功能主治】　同脑得生丸。
"【药品名称】
通用名称：脑立清胶囊
汉语拼音：Naoliqing Jiaonang",【成份】磁石、熟酒曲、冰片、牛膝、珍珠母、酒曲、薄荷、赭石、半夏（制）、猪胆汁。,【性状】本品为　　色胶囊剂，内容物为红棕色的粉末；气清香，味清凉、微苦。,【功能主治】平肝潜阳，醒脑安神。用于头晕目眩，耳鸣口苦，心烦难寐。
"【药品名称】
通用名称：脑立清丸
汉语拼音：Naoliqing Wan","【成份】
磁石、赭石、珍珠母、清半夏、酒曲、酒曲（炒）、牛膝、薄荷脑、冰片、猪胆汁（猪胆粉）。
辅料：无。",【性状】本品为深褐色的水丸；气芳香，味微苦。,【功能主治】平肝潜阳，醒脑安神。用于肝阳上亢，头晕目眩，耳鸣口苦，心烦难寐。
"【药品名称】
通用名称：脑心清片
汉语拼音：Naoxinqing Pian",【成份】柿叶醋酸乙酯浸出物。,【性状】本品为糖衣片或薄膜衣片，除去包衣后显褐色；味苦。,【功能主治】增加冠脉和脑部血流量，改善心、脑组织的供血供氧状态，增加红细胞电泳率。用于冠心病心绞痛，脑动脉硬化，缺血性脑血管病等。
"【药品名称】
通用名称：脑血康胶囊
汉语拼音：Naoxuekang Jiaonang",【成份】水蛭、淀粉。、,【性状】本品为胶囊剂，内容物为棕黄色粉末；气微腥，味咸。,【功能主治】活血化瘀，破血散结。用于中风，半身不遂，口眼歪斜，舌强语謇，舌紫暗，有瘀斑，更适用于高血压脑出血后的脑血肿，脑血栓等。
"【药品名称】
通用名称：尿感宁颗粒
汉语拼音：Niao Gan Ning Ke Li",【成份】海金沙藤、连钱草、凤尾草、紫花地丁、葎草。,【性状】本品为黄棕色至棕褐色的颗粒；味甜、微苦。,【功能主治】清热解毒，通淋利尿，抗菌消炎。用于急慢性尿路感染。
"【药品名称】
通用名称：尿石通丸
汉语拼音：Niaoshitong Wan",【成份】广金钱草、海金沙、茯苓、车前草、苘麻子、川木通、丝瓜络、鸡内金、枳实、牛膝,【性状】本品为黑褐色的浓缩丸；气微香，味微苦。,【功能主治】清热祛湿，行气逐瘀，通淋排石。适用于气滞湿阻型尿路结石以及震波碎石后者。
